"","ID","title","description","streetaddress","city","state","amenityfeatures","type","notes","dateadded","lastmodified","Year","full.address","lon","lat","geoAddress","Status"
"59",1289,"Virginia Beach - 21st St. Beach ","","","Norfolk","VA","Cruisy Area","Cruising Areas","","","",1979,", Norfolk, VA",-76.285873,36.850769,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used."
"60",2965,"Virginia Beach ","","","Norfolk","VA","Cruisy Area","Cruising Areas","","","",1978,", Norfolk, VA",-76.285873,36.850769,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used."
"61",1467,"Virginia Beach ","","","Norfolk","VA","Cruisy Areas","Cruising Areas","","","",1972,", Norfolk, VA",-76.285873,36.850769,"unclear_coded_by_hand","Location could not be verified. General city or location coordinates used."
"62",674,"Raphael's","","426 Granby St.","Norfolk","VA","(YC) - Young and/or collegiate types,(D) - Dancing,""(C) - Coffee, soft drinks and sometimes snacks"",(AH) - After Hours","Restaurant",NA,"11/8/2019 12:58pm","11/8/2019 1:32pm",1976,"426 Granby St., Norfolk, VA",-76.2891699,36.851816,"426 granby st, norfolk, va 23510, usa","Google Verified Location"
"63",549,"Raphael's","","426 Granby St.","Norfolk","VA","(YC) - Young and/or collegiate types,(D) - Dancing,""(C) - Coffee, soft drinks and sometimes snacks""","Restaurant","","9/7/2019 10:27am","9/7/2019 11:07am",1974,"426 Granby St., Norfolk, VA",-76.2891699,36.851816,"426 granby st, norfolk, va 23510, usa","Google Verified Location"
"64",881,"Raphael's","(also (C) after hours)","426 Granby St.","Norfolk","VA","(YC) - Young and/or collegiate types,(D) - Dancing,""(C) - Coffee, soft drinks and sometimes snacks""","Restaurant","","12/17/2019 9:53am","12/17/2019 9:53am",1975,"426 Granby St., Norfolk, VA",-76.2891699,36.851816,"426 granby st, norfolk, va 23510, usa","Google Verified Location"
"65",1009,"Paddock Tavern","(Some W, SM) (Cruisy)","131 Plume St.","Norfolk","VA","(W) - Western or coyboy types,(*) - Very popular,""(SM) - Some motorcycle. Don't confuse with 'M-S,' which means mixed crowds - shows. ""","Bars/Clubs,Cruising Areas","","12/6/2019 6:15pm","12/7/2019 11:48am",1980,"131 Plume St., Norfolk, VA",-76.291362,36.8471804,"131 e plume st, norfolk, va 23510, usa","Google Verified Location"
"66",387,"Continental","","111 W. Tazewell","Norfolk","VA","(*) - Very popular","Bars/Clubs",NA,"9/13/2019 4:38pm","10/28/2019 9:27am",1972,"111 W. Tazewell, Norfolk, VA",-76.2914909,36.8492514,"111 w tazewell st, norfolk, va 23510, usa","Google Verified Location"
"67",300,"Continental","","111 W. Tazewell","Norfolk","VA","(*) - Very popular","Bars/Clubs","","8/31/2019 11:17am","8/31/2019 11:50am",1971,"111 W. Tazewell, Norfolk, VA",-76.2914909,36.8492514,"111 w tazewell st, norfolk, va 23510, usa","Google Verified Location"
"68",734,"Continental","( ""drags "")","111 W. Tazewell","Norfolk","VA","(RT) - 'Raunchy types' - downtown type places - often hustlers,(B) - Blacks frequent","Bars/Clubs",NA,"11/8/2019 8:19pm","11/10/2019 2:21pm",1977,"111 W. Tazewell, Norfolk, VA",-76.2914909,36.8492514,"111 w tazewell st, norfolk, va 23510, usa","Google Verified Location"
