ID,title,description,streetaddress,city,state,amenityfeatures,type,unclearaddress,notes,dateadded,lastmodified
123,Colonial Lounge,,115 Albecorn,Savannah,GA,"(M) - Mixed Crowds,(RT) - 'Raunchy types' - downtown type places - often hustlers",Bars/Clubs,,,9/6/2019 12:47pm,9/7/2019 1:47pm
124,Lamp Post,,325 E. Bay St.,Savannah,GA,(M) - Mixed Crowds,Bars/Clubs,,,9/6/2019 12:47pm,9/7/2019 1:47pm
126,Rio Lounge,,116 Drayton,Savannah,GA,"(RT) - 'Raunchy types' - downtown type places - often hustlers,(M) - Mixed Crowds",Bars/Clubs,,,9/6/2019 12:47pm,9/7/2019 1:47pm
127,Sign of the White Hart,,301 E. President,Savannah,GA,"(M) - Mixed Crowds,(PE) - Pretty elegant - jacket & tie may be required,""(R) - Restaurant, usually serving dinner. A '*' after this symbol does not necessarily indicate quality of food served, but popularity of the place. """,Restaurant,,,9/6/2019 12:47pm,9/7/2019 1:47pm
133,Jerry's Drive Inn,,650 E. Main,Lexington,KY,"(M) - Mixed Crowds,""(C) - Coffee, soft drinks and sometimes snacks"",(YC) - Young and/or collegiate types",Bars/Clubs,,,9/6/2019 12:47pm,9/7/2019 2:01pm
134,Living Room,"(Closes 1am)
",24 E. Main St.,Lexington,KY,(*) - Very popular,Bars/Clubs,,,9/6/2019 12:47pm,9/7/2019 2:01pm
135,Downtowner,"(back room weekends)
",320 W. Chestnut St.,Louisville,KY,(*) - Very popular,Bars/Clubs,,,9/6/2019 12:47pm,9/7/2019 2:01pm
136,Mastersons Steak House,(After hours),1803 S. 3rd St.,Louisville,KY,"""(C) - Coffee, soft drinks and sometimes snacks"",(YC) - Young and/or collegiate types",Bars/Clubs,,,9/6/2019 12:47pm,9/7/2019 2:01pm
137,Queen Bee,,730 Logan,Louisville,KY,"(P) - Private club - Inquire locally to admission,(D) - Dancing,(S) - Shows - impersonators or record pantomime acts - often touristy",Bars/Clubs,,,9/6/2019 12:47pm,9/7/2019 2:01pm
138,Windsor Hotel Steam Baths,,926 S. 5th St.,Louisville,KY,,"Baths,Hotels",,,9/6/2019 12:47pm,12/7/2019 2:02pm
139,Bungalow,,557 3rd St.,Baton Rouge,LA,,Bars/Clubs,,,9/6/2019 12:47pm,9/7/2019 2:01pm
140,Swinging Machine,,852 Main St.,Baton Rouge,LA,(D) - Dancing,Bars/Clubs,,,9/6/2019 12:47pm,9/7/2019 2:01pm
141,Third Man,,5569 Greenwell Springs Rd.,Baton Rouge,LA,(*) - Very popular,Bars/Clubs,,,9/6/2019 12:47pm,9/7/2019 2:01pm
142,Chez Gizelle,Inquire locally,,Lafayette,LA,(M) - Mixed Crowds,Bars/Clubs,,,9/6/2019 12:47pm,9/7/2019 2:01pm
145,Caverns,,901 Bourbon St.,New Orleans,LA,,Bars/Clubs,,,9/6/2019 12:47pm,9/7/2019 10:53pm
146,Cahteau Flaminco,,607 Chartres St.,New Orleans,LA,(M) - Mixed Crowds,Bars/Clubs,,,9/6/2019 12:47pm,9/7/2019 10:53pm
147,Coffee Pot,,714 St. Peter St. ,New Orleans,LA,"""(R) - Restaurant, usually serving dinner. A '*' after this symbol does not necessarily indicate quality of food served, but popularity of the place. """,Restaurant,,,9/6/2019 12:47pm,9/7/2019 10:49pm
148,Fatted Calf,,727 St. Peter St.,New Orleans,LA,"""(R) - Restaurant, usually serving dinner. A '*' after this symbol does not necessarily indicate quality of food served, but popularity of the place. "",(M) - Mixed Crowds",Restaurant,,,9/6/2019 12:47pm,9/7/2019 10:50pm
149,Galley House,,542 Chartres St.,New Orleans,LA,(*) - Very popular,Bars/Clubs,,,9/6/2019 12:47pm,9/7/2019 10:53pm
150,Golden Lantern,,1239 Royal St.,New Orleans,LA,,Bars/Clubs,,,9/6/2019 12:47pm,9/7/2019 10:53pm
151,Kookie's,,1210 N. Rampart,New Orleans,LA,"""(G) - Girls, but rarely exclusively""",Bars/Clubs,,,9/6/2019 12:47pm,9/7/2019 10:53pm
152,Lafitte's in Exile,,901 Bourbon St.,New Orleans,LA,(*) - Very popular,Bars/Clubs,,,9/7/2019 2:02pm,9/7/2019 10:53pm
153,Lafitte's Annex,,740 Burgundy,New Orleans,LA,,Bars/Clubs,,,9/7/2019 2:02pm,9/7/2019 10:53pm
